名稱,人名ID,姓名,出生時間,辭世時間,字,號,原名,姓,諱名,筆名,幼名,學名,譜名,別號,居室名,泮名,共同筆名,其它名稱,翻譯的語言別,原民族群,祖籍,原籍,籍貫,出生地,辭世地點,性別,理論,作家簡介,圖像預覽,引用自,圖像權利註記,網站顯示區域,提要撰寫,朝代,年號,作品出處,宗教信仰,稱譽,當代相關研究,族群,維基數據,虛擬國際權威檔案,資料外部連結,備註,原始資料,最後修改時間,url
,PER2484,傅天余,1973/9/13,0000-00-00,,,,,,,,,,,,,,,,,,,臺灣苗栗,,,女,,傅天余，女，籍貫臺灣苗栗，1973年9月13日生。政治大學日文系畢業，紐約大學媒體生態與電影碩士。現為電視電影編導。曾獲時報文學獎短篇小說獎、中央日報文學獎短篇小說獎、新聞局優良電影劇本獎、電視金鐘獎單元劇最佳編劇與單元劇最佳編劇入圍、2006年國片輔導金等獎項。傅天余創作文類包括散文、小說。專長於電視電影編導，以持攝影機旁觀之眼為文。小說著重於臺灣都市生活型態下升斗小民之市井百態，透露出濃烈的社會關懷。散文憶往追昔，紀錄留學生活與異國風景，各具特色。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2484
,PER6543,傅天虹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6543
,PER2485,傅月庵,1960-00-00,0000-00-00,,,林皎宏,,,蠹魚頭,,,,,,,,,,,,,臺灣臺北,,,男,,傅月庵，男，本名林皎宏，另有筆名蠹魚頭，籍貫臺灣臺北，1960年生。臺北工專畢業，臺灣大學歷史系碩士班肄業。曾任出版社編輯、主編、遠流博識網網站主編。現任遠流出版公司副總編輯、遠流博識網網站顧問。傅月庵創作文類以散文為主。其以「書」為素材，作品介於評論與札記之間，論文說書，而能上下縱橫作出一主題式之閱讀，文中時現典故來源與軼聞，由此開展出作者個人之文化觀察。此外亦兼論及作品外圍，諸如出版販售、禁書、舊書店等，為書寫生，也為出版業生態留影。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2485
,PER6937,傅兆祺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6937
,PER6585,傅光明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6585
,PER2486,傅汝洋,1962/3/21,0000-00-00,,,,,,,,,,,,,,,,,,,,臺灣,,男,,傅汝洋，男，1962年3月21日生於臺灣。臺灣藝術專科學校廣播電視科畢業。曾任高雄電臺、臺北電臺、復興電臺、中國廣播公司、正聲電臺廣播節目主持人，以及臺視、大地頻道電視節目主持人，並曾任職於躍昇文化公司。現為大千電臺節目主持人、董事長特助兼音樂總監。曾獲廣播金鐘獎。傅汝洋創作文類以散文為主，旁及詩作。《等待天堂》是他的第一本散文集，呈現個人成長的心路歷程，以及遊歷西域的見聞。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2486
,PER6813,傅衣健,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6813
,PER2487,傅孝先,1934/12/14,0000-00-00,,,,,,,,,,,,,,,,,,,浙江紹興,,,男,,傅孝先，男，籍貫浙江紹興，1934年12月14日生，1949年前後來臺。臺灣大學外文系畢業，政治大學新聞系碩士，美國馬偕大學文學碩士，威斯康辛大學英美文學系博士。曾任美國威斯康辛大學英文系教授。現已退休，旅居美國。傅孝先的創作以論述與散文為主。傅孝先赴美後潛心研究西方文學，近年來再度用中文寫作。他以為寫作的目的在求真，為人生而藝術。風格上以洗鍊、深刻為特色，無論記事、析理、寫景、抒情，往往能意在筆先、情溢詞外。寫的即使是一些日常生活瑣事，字裡行間也不乏微言大義，令人思索再三。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2487
,PER2491,傅芸,1961/10/19,0000-00-00,,,傅淑美,,,"傅敏
傅湘如",,,,,,,,,,,,,臺灣南投,,,女,,傅芸，女，本名傅淑美，另有筆名傅湘如、傅敏，籍貫臺灣南投，1961年10月19日生。東吳大學英文系畢業。曾任嘉義縣協同中學英文教師。現任桃園育達高中英文教師。傅芸的創作文類以小說為主。作品多探討現代兩性關係，剖析現代情場女子的愛情觀，多以光明面為導向，文字自然流暢。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2491
,PER2488,傅佩榮,1950/12/16,0000-00-00,,,,,,"傅華
傅軒",,,,,,,,,,,,,上海市,臺灣高雄,,男,,傅佩榮，男，筆名傅華、傅軒，籍貫上海市，1950年12月16日生於臺灣高雄。輔仁大學哲學系畢業，臺灣大學哲學系碩士，美國耶魯大學宗教系博士。曾任臺灣大學哲學系教授兼系主任、所長，比利時魯汶大學、荷蘭萊頓大學講座教授，《哲學與文化》月刊主編，黎明文化公司總編輯，《哲學》雜誌總編輯等。現任臺灣大學哲學系教授。曾獲國家文藝獎、中正文化獎。傅佩榮的創作文類為論述與散文。在研究上，傅佩榮重新詮釋儒家人性論，在寫作、演講等方面皆有卓越成就。著作甚豐，範圍涵蓋哲學研究與入門、人生哲理、心理勵志等。擅長由哲學角度談人生問題，將傳統思想與現代生活結合，兼及教育之理想與現實，風格則傾向於說理分析、深入淺出，擁有廣大的讀者。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2488
,PER2489,傅孟麗,1949-00-00,0000-00-00,,,,,,,,,,,,,,,,,,,,,,女,,傅孟麗，女，1949年生，1952年隨父母從香港來臺。淡江大學中文系畢業。曾任《臺灣時報記者》副刊主編、《港都週刊》發行人、《消費者保護雜誌》總編輯、「好書店」董事長、《新朝藝術》南部辦事處負責人。現為芳草印刷設計工作室負責人。傅孟麗創作文類以論述與傳記為主，尤對詩人余光中的傳記寫作具有相當貢獻。傳記寫作以貼近訪談與著作閱讀為根本，並將其各時期之重要著作與多年之生活歷程，交叉編織成完整生命圖像，讓讀者多方觀閱詩人之生平與作品。此外更投入出版及文化事業，讓南臺灣的文化活動更加蓬勃多樣。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2489
,PER5715,傅怡禎,"1967-01-00
1967-01-01",,,,,,,,,,,,,,,,,,,,臺中,屏東,,男,,傅怡禎，男，籍貫臺中，1967年1月1日生於屏東。中國文化大學中文系文藝組畢業，文化大學中文系碩、博士。曾任屏東縣旅遊文學館駐館作家，大仁科技大學副教授，屏東教育大學兼任講師。現任臺東專科學校副教授，屏東縣阿緱文學會理事。曾獲臺灣省文學獎、耕莘網路文學獎、大武山文學獎、吳濁流文藝獎、黑暗之光文學獎、宗教文學獎、海洋文學獎、林榮三文學獎、打狗文學獎、臺北文學獎。傅怡禎的創作文類包含論述、詩、散文、小說。其長期關注及推動地方文藝事務，詩文多取材自屏東人文地景，善以質樸親切的筆觸，詳實呈現原鄉的生活記憶。,,,,,,,,,,,,,,,,,傅怡禎，男，籍貫臺中，1967年1月1日生於屏東。,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER5715
,PER2490,傅林統,1933/7/9,2020/1/18,,,,,,林桐,,,,,,,,,,,,,臺灣桃園,,,男,,傅林統，男，筆名林桐，籍貫臺灣桃園，1933年7月9日生，2020年1月18日辭世，享年87歲。新竹師範學院語文教育系畢業。歷任小學教師、主任、校長，中華民國兒童文學學會理事、監事等職。現已退休。曾獲中國語文獎章、教育部少年小說創作獎、洪建全兒童文學創作獎、行政院新聞局圖書著作金鼎獎等獎項。傅林統的創作文類有論述、散文以及兒童文學。他的論述議題廣泛，包括兒童文學的總論到個別文類的探討。在兒童文學的創作上，早期充滿對理想主義、光明未來的追尋，近年作品則以生動活潑的語言，增加娛樂性效果。傅林統多年潛心研究兒童文學，是兒童文學資深工作者。退休後於桃園縣文化局推展「兒童讀書會」，推廣兒童文學教育不遺餘力。亦曾翻譯過兒童文學理論書籍。,,,,,,,,,,,,,,,,,,1.70073E+12,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2490
,PER2493,傅述先,1937/10/14,0000-00-00,竹軒,,,,,,,,,,,,,,,,,,浙江紹興,,,男,,傅述先，男，字竹軒，籍貫浙江紹興，1937年10月14日生，1949年前後來臺。臺灣大學外文系畢業，美國馬克大學英美文學碩士，西班牙馬德里大學西洋文學、美國印地安那大學比較文學博士。曾任臺灣大學外文系客座副教授，新加坡大學英文系講師。現已退休。傅述先創作文類以包括論述、散文。論述以比較文學為根基，中外文本為對象，進行評析；散文則為文學賞析之作，無分古今中外，深入淺出，頗得其妙。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2493
,PER6043,傅紀鋼,1978-00-00,,,,,,,,,,,,,,,,,,,,,臺中,,男,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6043
,PER6453,傅軍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6453
,PER6279,傅家琛,1933-06-00,,,,,,,,,,,,,,,,,,,,,福建福州,,男,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6279
,PER6820,傅博,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6820
,PER5337,傅斯年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER5337
,PER2492,傅達德,1965-00-00,0000-00-00,,,,,,,,,,,,,,,,,,,,臺灣,,男,,傅達德，男，1965年生。臺灣大學政治系畢業。美國雪城大學政治學碩士、經濟學博士。現從商，偶亦翻譯。傅達德創作文類以散文為主。其創作可分兩類，一類記其留學生活，開展不同於島嶼之生活面。一類散文紀錄與寵物互動點滴，由此導引出與寵物相處之獨特哲學。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2492
,PER6044,傅詩予,,,,,,,,,,,,,,,,,,,,,,苗栗,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6044
,PER6045,傅銀樵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6045
,PER7212,傅德岷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7212
,PER7288,傑夫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7288
,PER2494,傑維恩,1976/12/22,0000-00-00,,,王俊傑,,,,,,,,,,,,,,,,臺灣臺中,,,男,,傑維恩，男，本名王俊傑，籍貫臺灣臺中，1976年12月22日生。英國普茲茅斯大學碩士。曾任天下遠見出版公司網站企畫編輯，現任法鼓山佛教基金會網站整合規畫專案召集人。曾獲臺中縣文學獎小說獎，並入圍皇冠百萬小說獎。傑維恩創作文類以小說為主。初期以網路為發表平臺，於網路上發行《日光溫暖文學報》。傑維恩小說多以愛情為主題，擅長以變化小說形式突顯內容，精於勾勒角色內心之荒蕪與欲求。以淺顯、明朗的語言傳達複雜旨趣。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2494
,PER2495,勞影,1932-00-00,1992-00-00,,,王復古,,,"慕蓉美
筆鳴
煙酒上人",,,,,,,,,,,,,江蘇無錫,,,男,,勞影，男，本名王復古，另有筆名慕容美、筆鳴、煙酒上人，籍貫江蘇無錫，1932年生，1949年前後來臺，1992年辭世，享年60歲。曾任職於桃園、鳳山稅捐稽徵處。1979年辭去公職後，專事寫作。勞影創作文類以小說為主。以勞影為筆名寫現代小說，寫大時代下都市笙歌魅影，種種人心複雜情態，而極寫社會陰暗一面，少說教而自能以情節調度傳達反共立場。另署名慕容美、煙酒上人撰寫武俠小說，擅處理對話，以之推動情節發展，寫作資歷前後跨三十多年，前後期之作於風格和筆法上有所不同，受不同名家流派影響，或可由其作之變，而與臺港當代武俠小說流派與演變相參照。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2495
,PER7645,喜洋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7645
,PER2496,喜菡,1955/11/7,0000-00-00,,,彭淑芬,,,,,,,,,,,,,,,,臺灣臺東,,,女,,喜菡，女，本名彭淑芬，籍貫臺灣臺東，1955年11月7日生。淡江大學中文系畢業。曾任《掌門詩學》主編、港都文藝學會常務理事兼總幹事、《臺灣新聞報》「臺灣寫真」專欄執筆、高雄中正高工國文教師。現專事寫作，並為小太陽兒童創意作文成長班負責人、喜菡文學網站長。曾獲全國教育會教師徵文首獎、全國生態文學新詩獎、第一屆花蓮文學獎花蓮故事佳作、大武山文學獎新詩獎。喜菡創作文類包括詩與小說。其詩化古典詩詞為今用，句式輕快活潑，能融女性情慾與身體於詩中，以發抒生活體悟與心境為主，乃至時事與社會現象皆能成詩。小說則以女性觀點切入，關注人至中年如何開拓自身慾望與情感。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2496
,PER2497,喜樂,1915/7/24,2008/6/18,,,姜增亮,,,,,,,,,,,,,,,,北京市,,,男,,喜樂，男，本名姜增亮，籍貫北京，1915年7月24日生，1948年來臺，2008年6月18日辭世，享年93歲。空軍官校第四期機械科、美國密西根大學（UniversityofMichigan）航空工程系畢業。曾任亞洲航空公司航空工程部督導，裕隆公司設計室、空軍總部第五署工業計畫室副主任，空軍航空研究院研究員，第一飛機製造廠工程師，經濟部工業局機械工業輔導研究員，亞泰金屬工業公司及亞洲化學公司技術顧問，空軍航空工程軍官中校二級。作品曾入選聯合報文學獎。喜樂的創作文類以散文為主。擅長論說文，兼有幽默小品，善以質樸細膩、俏皮且富民風的筆觸，將想念家鄉的點點滴滴畫下，配上生動詼諧的文字，將中國人的生活藝術嵌入具有濃郁傳統色彩之圖文中。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2497
,PER2501,喬木,1930-00-00,0000-00-00,,,鄭全美,,,,,,,,,,,,,,,,山東,,,男,,喬木，男，本名鄭全美，籍貫山東，1930年生，1949年來臺迄今。陸軍通信兵學校畢業，軍職人員，現已退休。曾獲國軍文藝金像獎、中山文藝創作獎等獎項。喬木創作文類以小說為主。運用大量方言詞彙，人物口吻時而粗直時而溫順，語調上力求傳神，敘事流暢不尚華巧，人物多出身平常市井，或者重新轉化軍旅弟兄的經歷，寫出小人物在職場、男女情感、家庭經濟、兄弟伯仲間的種種矛盾與價值衝突，擅長人物心靈的轉折與曖昧，而能對「人」的多重形象有所感悟。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2501
,PER2502,喬兆坤,1928-00-00,0000-00-00,,,,,,,,,,,,,,,,,,,河南唐河,,,男,,喬兆坤，男，籍貫河南唐河，1928年生，1950年5月來臺迄今。臺灣師範學院教育系畢業。曾任國、高中教師、花蓮高中校長。現已退休。喬兆坤創作文類以傳記為主。其回憶半生經歷，由自身流亡、歷抗戰、播遷，而至紮根於臺灣，呈現半世紀歷史縮影，書中後半部集中教育理念之呈現，描述其經營學校之過程與體悟，希望提供教育人作為參考。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2502
,PER2503,喬志高,1912/5/29,2008/3/1,,,高克毅,,,,,,,,,,,,,,,,江蘇江寧,美國密西根州,,男,,喬志高，男，本名高克毅，籍貫江蘇江寧，1912年5月29日生於美國密西根州安阿伯市（AnnArbor），2008年3月1日辭世，享年96歲。燕京大學畢業，美國密蘇里大學（UniversityofMissouri）新聞學碩士，哥倫比亞大學（ColumbiaUniversityintheCityofNewYork）國際關係碩士。1915年隨父母返回中國，大學畢業後赴美求學，在美期間，曾任上海英文報紙《大陸報》、《中國評論》週報之美國特約通訊記者，《宇宙風》、《西風》雜誌撰稿人。中日戰爭期間，曾任紐約中國新聞社編輯，主編《戰時中國》月刊，並先後任芝加哥及舊金山辦事處代理主任。戰後，曾任舊金山《華美周報》主筆、華盛頓《美國之音》中文部副主任、香港中文大學翻譯研究中心客座高級研究員，並與宋淇共同創辦《譯叢》英文雜誌。1983年退休，晚年旅居美國。喬志高的創作文類以散文為主。作品介紹美國的風土人情，報導社會動態，詮釋通俗美國語言，用中國人的觀點和亦莊亦諧的文筆加以詮釋，並且以他國語言介紹中國文化，文筆穩健，享有極高評價。此外，喬志高從事中英文新聞通訊、編輯、主筆工作多年，並翻譯有多種著作。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2503
,PER2504,喬林,1943/3/11,0000-00-00,,,周瑞麟,,,,,,,,,,,,,,,,臺灣臺北,,,男,,喬林，男，本名周瑞麟，籍貫臺灣臺北，1943年3月11日生。中國市政專科學校土木科畢業。1971年與詩友組「龍族」詩社，曾任《青年雜誌》學生版主編，榮民工程公司工程管理組組長、業務一處副處長。現已退休，為中華民國新詩學會理事。曾獲首屆全國優秀青年詩人獎。喬林創作文類以詩為主。早期寫作主題以揭露現代人形而上的焦慮為基調，轉而對人存在的本質發出抵抗的聲音。喬林的文字平易淺近，重視詩作整體的意象，強調一定要能表現生活的感受。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2504
,PER2505,喬洪,1951/6/30,0000-00-00,,,洪名縣,,,,,,,,,,,,,,,,臺灣彰化,,,男,,喬洪，男，本名洪名縣，籍貫臺灣彰化，1951年6月30日生。陸軍官校畢業，人事行政人員特考及格。曾任彰化大城鄉公所民政課長。曾為「綠地」詩社、「葡萄園」詩社同仁，現為中國詩歌藝術學會會員，《葡萄園》詩刊編委。喬洪創作文類有詩和散文，以詩為主。內容有敘事、抒情、哲理，體現作者視角的多樣化，意境清奇，想像豐富，詩句富有彈性，隱約透出發掘人文精神的呼喚。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2505
,PER7510,單兆榮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7510
,PER674,單德興,1955/1/16,0000-00-00,,,,,,,,,,,,,,,,,,,山東嶧縣,臺灣南投,,男,,單德興，男，籍貫山東嶧縣，1955年1月16日生於臺灣南投。政治大學西洋語文學系畢業，臺灣大學外文系碩士、博士。曾任美國加州大學爾灣校區英文暨比較文學系博士後研究員、兼任教師，臺灣大學、交通大學外文所兼任教授，美國哈佛燕京學社、英國伯明罕大學、美國紐約大學、加州大學、哈佛大學訪問學人，為中華民國英美文學學會理事長。現任中央研究院歐美研究所研究員兼副所長、靜宜大學英文系兼任講座教授。曾獲金鼎獎、梁實秋文學獎。單德興創作文類以論述與散文為主。專長於美國文學與文化研究，除美國文學史之相關論述與研究之外，特別關注美國華裔文學發展，上溯其根源，重建其脈絡，亦針對個別華裔作家作品進行個案研究。散文有專訪學者的輯錄，並剖析單純的訪談所蘊藏的省思與觀照，亦有多年修禪的心得，分享如何體驗修禪的樂趣。此外，作者翻譯諸多相關論述，為國內引進當代文學文化理論。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER674
,PER5393,喻仲林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER5393
,PER2500,喻麗清,1945/3/24,2017/8/2,,,,,,,,,,,,,,,,,,,浙江杭州,,,女,,喻麗清，女，籍貫浙江杭州，1945年3月24日生，1948年隨父母來臺，2017年8月2日辭世，享年73歲。臺北醫學大學藥學系畢業。大學時期曾創辦北極星詩社，畢業後隨即赴美，1970年返臺，任耕莘文教院青年寫作班總幹事。1972年再度赴美定居，曾任職紐約州立大學、柏克萊加州大學脊椎動物學博物館，曾任上海同濟大學海外華文研究所特約研究員、世界海外華文女作家協會會長、北美中華新文藝協學會副理事長、美國青樹教育基金會副主席等。曾獲中國文藝協會文藝獎章、新聞局優良著作金鼎獎、兒童文學小太陽金鼎獎，行政院文建會最佳少兒著作獎。喻麗清的創作文類以散文為主，另有詩、小說、兒童文學等。散文風格雋永，作品內容多是有關於她在美國生活的感觸，親情、友情、愛情、鄉情，隨興發揮，透明清新，篇幅精短，意韻幽遠。其詩描寫對生活的感動，風格清新亮麗；小說則捕捉對人生中的無奈、矛盾、傷懷。創作外，亦從事翻譯與編選。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2500
,PER6661,壹闡提,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6661
,PER2506,寒川,1950-00-00,0000-00-00,,,呂基砲,,,呂紀葆,,,,,,,,,,,,,新加坡,福建金門,,男,,寒川，男，本名呂基砲，另有筆名呂紀葆，籍貫新加坡，1950年生於福建金門。新加坡南洋大學中文系畢業。曾創立「島嶼文化社」、主編《源》雜誌，現任職新加坡人民協會，並為印華作家協會顧問、新加坡錫山文藝中心副主席、新加坡藝術總會理事、新加坡島嶼文化社理事、新加坡書法家協會高級評議員、新加坡金門會館董事、新加坡浯江公會董事、印尼《印華詩刊》、《印華文友》顧問。寒川創作文類有論述、詩、散文和傳記。以詩見長，詩中最醒目的主題是在變動的離鄉行旅中，頻頻重現的哀嘆。善於化用典故，在古典與現代的會合點上抒發情思，在歷史的想像與憑弔之間，頌念一己之憂樂，或在遊歷的腳程裡，接合個人對情愛的想望，而以富哲學性的辯證提昇思想高度。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2506
,PER5716,寒玉,1965/2/5,,,,,,,,,,,,,,,,,,,,,金門,,女,,寒玉，女，本名林玉寶，1965年2月5日生於金門。金門金湖國中畢業。《金門日報》專欄主筆。現為金門縣作家協會理事。曾獲陸軍文藝金獅獎、浯島文學獎。寒玉的創作文類包含詩、散文、小說、傳記。其創作環繞原鄉金門，書寫純樸親切、溫馨敦厚的民情。早期散文多記敘生活瑣碎片段，清新雅致；後期則展現對多方議題的關懷與思索。小說呈現對於地方社會民情的入微觀察與想像；傳記多寫老兵遷臺後的生命經歷，留存榮民背後顛沛流離的歷史記憶。,,,,,,,,,,,,,,,,,寒玉，女，本名林玉寶，1965年2月5日生於金門。,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER5716
,PER5365,寒林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER5365
,PER2507,寒爵,1917/2/25,2009/10/12,,,韓道誠,,,"不了
牢罕
韓士奇
草野介士
李夢非
韓爝",,,,,,,,,,,,,河北鹽山,,,男,,寒爵，男，本名韓道誠，另有筆名不了、牢罕、韓士奇、草野介士、李夢非、韓爝等十多個，籍貫河北鹽山，1917年2月4日生（農曆），1949年2月來臺，2009年10月12日辭世，享年93歲。東省特別區區立法學院經濟系畢業。來臺前，曾與作家關沫南於哈爾濱創辦抗日詩刊；來臺後，曾創辦《反攻》半月刊，並曾任國立編譯館編纂兼人文社會組主任，中國文化大學中文系、東吳大學中文系、世新大學中文系兼任教授、《中國時報》主筆。寒爵的創作文類包含論述、散文與小說。早期為知名的專欄作家，他的散文愛憎分明，筆鋒犀利，小說亦然。除寫散文外，亦致力於歷史研究，卓闢精微。八巨冊150萬字的小說《儒林新傳》，乃寒爵沈潛十餘年的力作，其以亦莊亦諧的筆觸，描繪現代知識分子鑽營名利的現象，並諷刺官場的貪腐與昏聵，人物刻生動，情節編排匠心獨具。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2507
,PER2508,幾米,1958/11/15,0000-00-00,,,廖福彬,,,,,,,,,,,,,,,,臺北市,臺灣宜蘭,,男,,幾米，男，本名廖福彬，籍貫臺北市，1958年11月15日生於臺灣宜蘭。中國文化大學美術系畢業。曾任職於廣告公司，後來為報紙、雜誌等各種出版品畫插畫，現專事繪本創作。曾獲中國時報開卷最佳童書獎、民生報好書大家讀最佳童書獎、聯合報讀書人最佳童書獎。幾米創作文類以散文為主。搭配清新的畫風、獨特的創意和詩意的表現，開創了圖文書中的成人繪本時代。作品在繽紛多彩中經常帶著淡淡的哀愁。以精美細膩的圖畫，新詩一樣的文字，描繪出都市人角色，多變的故事節奏有不同於以往的閱讀趣味。文字簡短卻發人深省，並以多樣面貌呈現在觀眾面前，如插畫、繪本、電影、舞臺劇、動畫等。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2508
,PER2509,彭小妍,1952/12/28,0000-00-00,,,,,,,,,,,,,,,,,,,廣東紫金,臺灣雲林,,女,,彭小妍，女，籍貫廣東紫金，1952年12月28日生於臺灣雲林。政治大學西洋語文學系畢業，臺灣大學外文系碩士，美國哈佛大學比較文學系博士。曾任臺灣大學外文系講師、助理教授、副教授。現任中央研究院中國文哲所研究員。曾獲時報文學獎。彭小妍的創作文類有論述和小說。其文學評論以現代小說和兩性關係之議題為主；小說創作題材以家族故事與少數族群故事為主，關注新舊時代交替之際，女性的際遇與精神，文字風格古典醇雅，平實細膩。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER2509
,PER6046,彭心楺,1974/4/12,,,,,,,,,,,,,,,,,,,,,苗栗,,女,,彭心楺，女，1974年4月12日生於苗栗。弘光醫事護理專科學校（弘光科技大學）護理科畢業。曾獲聯合文學小說新人獎、夢花文學獎、金鐘獎迷你劇集編劇獎、懷恩文學獎。彭心楺的創作文類以小說為主。作品因其護理師背景多有對醫學領域的深度描寫，擅長刻劃醫院第一線人員的心理狀態，及塑造醫療現場的混亂事件，以呈現生死關前人情倍感無奈荒謬的境況，風格沉重而寫實。,,,,,,,,,,,,,,,,,彭心楺，女，1974年4月12日生於苗栗。,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6046
